feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51,feat_52,feat_53,feat_54,feat_55,feat_56,feat_57,feat_58,feat_59,feat_60,feat_61,feat_62,feat_63,label
1.3524971,0.83225477,0.0,0.0,0.0,1.2191255,0.0,1.9747515,1.8561324,1.4416369,0.9069311,0.0,1.1961763,1.0318937,0.0,0.0,0.9341065,0.8176421,0.0,0.0,1.4448642,0.0,1.043912,1.2842672,0.0,0.0,0.0,1.1440175,0.0,0.0,1.4237725,0.0,1.4555852,0.0,0.0,2.1247797,1.3852445,0.0,0.33707413,1.6423405,1.8736942,0.0,1.1857046,1.578928,0.0,0.9331946,0.0,1.3067335,1.6807308,0.0,1.3244814,1.4498683,0.0,1.2411644,1.4595344,0.0,0.9513451,1.6597874,1.7646966,0.27669233,0.11537879,1.2595185,1.8137302,0.0,0
1.0430988,0.4133471,0.0,0.0,0.0,0.79777527,0.0,1.529145,1.3129629,0.8809917,0.65212554,0.0,1.4498473,1.0584059,0.0,0.0,0.9926801,0.76151747,0.0,0.0,1.2866957,0.0,0.5289539,0.6481849,0.066812694,0.0,0.0,0.46258345,0.0,0.0,0.96167666,0.0,1.5294508,0.0,0.0,1.6040658,1.2840356,0.0,0.3015668,0.9763687,1.398001,0.0,1.236052,0.6832494,0.0,0.81701624,0.0,0.9590954,1.0554796,0.0,0.90620583,1.3758129,0.0,1.0528333,0.35412982,0.0,1.0363588,1.0004418,0.9909037,0.43517023,0.40657106,1.2645437,1.2483058,0.0,0
0.6237074,0.0,0.11103141,0.14620109,0.0,0.3862316,0.10992902,0.62148523,0.7398145,0.22295229,0.38257986,0.22607876,0.43895775,0.44499522,0.25920734,0.013791522,0.5784773,0.33991113,0.0,0.101634786,0.60853755,0.028870948,0.115029216,0.63415617,0.02627084,0.06523686,0.050898634,0.61305594,0.19995494,0.15622486,0.3646402,0.11808144,0.5672855,0.21357538,0.27852377,0.3690033,0.5939221,0.08898613,0.0,0.46292657,0.77059174,0.2089261,0.64582276,0.008121645,0.20704089,0.6217224,0.10256156,0.60199755,0.31279635,0.0546875,0.5349403,0.42863852,0.0,0.34395775,0.6680222,0.043095507,0.4572628,0.49455693,0.6958059,0.0,0.0,0.7002849,0.5945488,0.11020612,0
1.0517943,0.64194065,0.0,0.0,0.0,0.87200546,0.0,1.282812,1.2932345,0.9677678,0.56941164,0.0,0.7851784,0.7194288,0.0,0.0,1.0440183,0.41875923,0.0,0.0,1.0556418,0.0,0.6348256,1.3304752,0.027605023,0.0,0.0,1.2941111,0.0,0.0,1.1774532,0.0,0.9880006,0.0,0.0,1.4682565,1.1130877,0.0,0.0,0.8394333,1.386049,0.0,0.9366907,1.3783882,0.0,1.1093136,0.0,1.0009044,0.8663183,0.0,1.3716075,0.46359584,0.0,0.5373517,1.6297048,0.0,0.719676,1.0812879,1.1997198,0.11026614,0.0,0.85417956,1.2545967,0.0,0
1.2809062,0.7818843,0.0,0.0,0.0,1.0533334,0.0,1.7256731,1.554722,0.56747854,0.7291737,0.0,1.2233759,1.0666411,0.0,0.0,1.1074569,0.5919654,0.0,0.0,1.2830937,0.0,0.584115,1.6041656,0.0,0.0,0.0,1.3055116,0.0,0.0,1.2096188,0.0,1.3178161,0.0,0.0,1.1524802,1.130909,0.0,0.0,1.1320789,1.6025319,0.0,1.2306371,0.7601532,0.20927018,1.3252592,0.0,1.2110842,1.1496428,0.0,1.7281386,0.9549582,0.0,1.0418682,2.0325587,0.0,1.1338173,1.3693452,1.6126319,0.24770077,0.0,1.3879863,1.1013242,0.0,0
0.0,0.0,2.3068063,1.5110389,0.13396667,0.0,1.6149077,0.0,0.0,0.0,0.0,2.4476595,0.0,0.0,1.9813429,1.8072551,0.0,0.0,1.9260155,2.288502,0.0,2.2378511,0.0,0.0,2.7146256,2.115257,2.8500438,0.0,2.0727084,1.825416,0.0,1.6659169,0.0,3.7536294,2.2159686,0.0,0.0,1.6893343,0.0,0.0,0.0,2.6046267,0.0,0.0,2.482152,0.0,1.791189,0.0,0.0,1.8503762,0.0,0.0,0.3087245,0.0,0.0,2.243548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4516522,1
0.0,0.0,4.5616627,2.7835302,0.2668063,0.0,3.2265263,0.0,0.0,0.0,0.0,4.389919,0.0,0.0,3.9228532,2.93296,0.0,0.0,3.3709812,4.2209363,0.0,4.13531,0.0,0.0,4.7868266,3.978706,5.4101534,0.0,3.7765672,3.5582063,0.0,3.2494636,0.0,6.588747,4.2450294,0.0,0.0,3.3300018,0.0,0.0,0.0,4.987599,0.0,0.0,5.036542,0.0,3.8125927,0.0,0.0,3.411424,0.0,0.0,0.4493524,0.0,0.0,4.176001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0978882,1
0.46418804,0.01608177,2.1015468,0.9521618,0.0,0.0035127345,1.9655179,0.48063457,0.0,0.0,0.2713048,1.6654658,0.1942165,0.6116771,1.8158102,0.49353445,0.061787188,0.0,1.781031,1.2203223,0.13719523,1.6133425,0.0,0.3038869,0.96766603,1.3937241,1.4572747,0.008882097,1.0680887,0.75735086,0.0,1.0241616,0.0947155,1.7373607,1.8467711,0.18530847,0.0,1.0745391,0.0,0.22116458,0.0,1.44929,0.17865598,0.0,1.8947029,0.30492434,1.9409949,0.0,0.4385966,0.84717077,0.44555628,0.3158494,0.0,0.22331545,0.0,1.5963739,0.0826187,0.24469054,0.0,0.0,0.0,0.14642444,0.051484887,1.2491951,1
0.0,0.0,4.203882,2.7647104,0.0,0.0,2.6224947,0.0,0.0,0.0,0.0,3.6038766,0.0,0.0,3.8052225,2.493238,0.0,0.0,3.8089526,3.0131512,0.0,3.973552,0.0,0.0,3.4527118,3.3961303,4.347914,0.0,3.2032642,2.2560298,0.0,2.707112,0.0,5.002126,3.479836,0.0,0.0,2.3653483,0.0,0.0,0.0,4.049512,0.0,0.0,4.2460413,0.0,2.7984908,0.0,0.0,2.8418622,0.0,0.0,0.2621623,0.0,0.0,3.3415399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8278728,1
1.3265502,0.046349727,0.0,0.0,0.0,0.8873494,0.0,1.4004933,1.0979888,0.7631184,0.77821946,0.0,0.9774527,0.79611987,0.0,0.0,1.1517355,0.7999165,0.0,0.0,1.0853434,0.0,0.24979427,0.8803522,0.23541503,0.0,0.0,1.4277282,0.0,0.0,1.2325065,0.10920648,1.1019204,0.0,0.0,1.6192967,1.243693,0.0,0.0,1.0763184,1.1123269,0.07099594,1.1906986,1.4270145,0.0,1.3610368,0.0,0.7272446,0.74388784,0.0,1.3608422,0.7816134,0.0,0.8978954,1.44112,0.0,0.83854556,1.3264006,1.1499603,0.0,0.0,1.0752177,1.0268314,0.0,0
